subject,model,threshold,imagined_trials,fast_correct,fast_wrong,late_first,miss,full_go_correct,duplicates,nonimagined_events,nonimagined_seconds,outside_scored_events,continuous_nontarget_events,continuous_nontarget_seconds,idle_events,idle_seconds,listening_events,listening_seconds,attempted_events,attempted_seconds
t12,shrinkage_lda,1.01,28,0,0,0,28,0,0,0,149.9000000000001,0,0,357.8800000000001,0,12.0,0,50.4399999999996,0,87.46000000000049
t12,diagonal_lda,1.01,28,0,0,0,28,0,0,0,149.9000000000001,0,0,357.8800000000001,0,12.0,0,50.4399999999996,0,87.46000000000049
t15,shrinkage_lda,1.01,70,0,0,0,70,0,0,0,225.85000000000127,0,0,514.5600000000001,0,15.070000000000618,0,105.39000000000078,0,105.38999999999987
t15,diagonal_lda,1.01,70,0,0,0,70,0,0,0,225.85000000000127,0,0,514.5600000000001,0,15.070000000000618,0,105.39000000000078,0,105.38999999999987
t16,shrinkage_lda,1.01,28,0,0,0,28,0,0,0,121.26000000000022,0,0,424.77999999999963,0,8.079999999999927,0,56.58000000000038,0,56.59999999999991
t16,diagonal_lda,1.01,28,0,0,0,28,0,0,0,121.26000000000022,0,0,424.77999999999963,0,8.079999999999927,0,56.58000000000038,0,56.59999999999991
t17,shrinkage_lda,1.01,70,0,0,0,70,0,0,0,225.87000000000126,0,0,514.3200000000013,0,15.070000000000618,0,105.40999999999985,0,105.39000000000078
t17,diagonal_lda,1.01,70,0,0,0,70,0,0,0,225.87000000000126,0,0,514.3200000000013,0,15.070000000000618,0,105.40999999999985,0,105.39000000000078
